Date,store_id,daily_sales,promotion_active,store_size,city_population,day_of_week,month,day_of_month,is_weekend,time_idx
2021-02-01,store_1,39.777515038247145,0,small,50000,0,2,1,0,31
2021-02-02,store_1,45.27335928561579,0,small,50000,1,2,2,0,32
2021-02-03,store_1,43.58828594116012,0,small,50000,2,2,3,0,33
2021-02-04,store_1,47.35654894985788,0,small,50000,3,2,4,0,34
2021-02-05,store_1,74.4396034384379,1,small,50000,4,2,5,1,35
2021-02-06,store_1,85.54786773686617,1,small,50000,5,2,6,1,36
2021-02-07,store_1,54.485175553630036,0,small,50000,6,2,7,1,37
2021-02-08,store_1,41.153741996448474,0,small,50000,0,2,8,0,38
2021-02-09,store_1,42.61930494823427,0,small,50000,1,2,9,0,39
2021-02-10,store_1,69.18781364111989,1,small,50000,2,2,10,0,40
2021-02-11,store_1,45.989030019350125,0,small,50000,3,2,11,0,41
2021-02-12,store_1,78.78170373186441,1,small,50000,4,2,12,1,42
2021-02-13,store_1,83.90250590168398,1,small,50000,5,2,13,1,43
2021-02-14,store_1,63.50721506430144,0,small,50000,6,2,14,1,44
2021-02-15,store_1,36.96073681098406,0,small,50000,0,2,15,0,45
2021-02-16,store_1,43.67895950257232,0,small,50000,1,2,16,0,46
2021-02-17,store_1,46.06932945220861,0,small,50000,2,2,17,0,47
2021-02-18,store_1,45.37010459320815,0,small,50000,3,2,18,0,48
2021-02-19,store_1,75.82489399828637,1,small,50000,4,2,19,1,49
2021-02-20,store_1,93.36304824721189,1,small,50000,5,2,20,1,50
2021-02-21,store_1,52.01532759360148,0,small,50000,6,2,21,1,51
2021-02-22,store_1,62.27650468800551,1,small,50000,0,2,22,0,52
2021-02-23,store_1,37.42027678106567,0,small,50000,1,2,23,0,53
2021-02-24,store_1,42.82683808883236,0,small,50000,2,2,24,0,54
2021-02-25,store_1,51.09839987382489,0,small,50000,3,2,25,0,55
2021-02-26,store_1,72.08940784262425,1,small,50000,4,2,26,1,56
2021-02-27,store_1,82.59875454594697,1,small,50000,5,2,27,1,57
2021-02-28,store_1,57.92042770523069,0,small,50000,6,2,28,1,58
2021-03-01,store_1,45.680081199440735,0,small,50000,0,3,1,0,59
2021-03-02,store_1,39.6973457368787,0,small,50000,1,3,2,0,60
2021-03-03,store_1,65.37226331587289,1,small,50000,2,3,3,0,61
2021-03-04,store_1,51.91571837628271,0,small,50000,3,3,4,0,62
2021-03-05,store_1,82.94904014242235,1,small,50000,4,3,5,1,63
2021-03-06,store_1,89.23508339781428,1,small,50000,5,3,6,1,64
2021-03-07,store_1,56.09457638534353,0,small,50000,6,3,7,1,65
2021-03-08,store_1,45.737852908513275,0,small,50000,0,3,8,0,66
2021-03-09,store_1,70.77493174729267,1,small,50000,1,3,9,0,67
2021-03-10,store_1,47.56099616660303,0,small,50000,2,3,10,0,68
2021-03-11,store_1,46.33747305438949,0,small,50000,3,3,11,0,69
2021-03-12,store_1,75.71298006312472,1,small,50000,4,3,12,1,70
2021-03-13,store_1,88.9796483474317,1,small,50000,5,3,13,1,71
2021-03-14,store_1,60.78845790842854,0,small,50000,6,3,14,1,72
2021-03-15,store_1,44.402989763007234,0,small,50000,0,3,15,0,73
2021-03-16,store_1,45.620918815515445,0,small,50000,1,3,16,0,74
2021-03-17,store_1,43.52144772622982,0,small,50000,2,3,17,0,75
2021-03-18,store_1,51.62353300862598,0,small,50000,3,3,18,0,76
2021-03-19,store_1,77.08726848302268,1,small,50000,4,3,19,1,77
2021-03-20,store_1,92.78018799828337,1,small,50000,5,3,20,1,78
2021-03-21,store_1,64.18404484870034,0,small,50000,6,3,21,1,79
2021-03-22,store_1,39.098466097792745,0,small,50000,0,3,22,0,80
2021-03-23,store_1,43.621085377281894,0,small,50000,1,3,23,0,81
2021-03-24,store_1,67.16549084366311,1,small,50000,2,3,24,0,82
2021-03-25,store_1,44.51295473810618,0,small,50000,3,3,25,0,83
2021-03-26,store_1,77.21459736094806,1,small,50000,4,3,26,1,84
2021-03-27,store_1,100.96278703889699,1,small,50000,5,3,27,1,85
2021-03-28,store_1,54.297327367038136,0,small,50000,6,3,28,1,86
2021-03-29,store_1,41.332532133802964,0,small,50000,0,3,29,0,87
2021-03-30,store_1,45.09887224059028,0,small,50000,1,3,30,0,88
2021-03-31,store_1,46.28233872532569,0,small,50000,2,3,31,0,89
2021-04-01,store_1,54.81230321055312,0,small,50000,3,4,1,0,90
2021-04-02,store_1,80.99644294862634,1,small,50000,4,4,2,1,91
2021-04-03,store_1,103.56486280990293,1,small,50000,5,4,3,1,92
2021-04-04,store_1,98.49966618440891,1,small,50000,6,4,4,1,93
2021-04-05,store_1,42.075598344678454,0,small,50000,0,4,5,0,94
2021-04-06,store_1,52.85311093200768,0,small,50000,1,4,6,0,95
2021-04-07,store_1,55.014812510455286,0,small,50000,2,4,7,0,96
2021-04-08,store_1,55.26642601065889,0,small,50000,3,4,8,0,97
2021-04-09,store_1,87.61563483589438,1,small,50000,4,4,9,1,98
2021-04-10,store_1,107.87224383041436,1,small,50000,5,4,10,1,99
2021-04-11,store_1,69.01431732890181,0,small,50000,6,4,11,1,100
2021-04-12,store_1,49.38484402354219,0,small,50000,0,4,12,0,101
2021-04-13,store_1,49.132252061881076,0,small,50000,1,4,13,0,102
2021-04-14,store_1,55.94292055546947,0,small,50000,2,4,14,0,103
2021-04-15,store_1,56.0081176130212,0,small,50000,3,4,15,0,104
2021-04-16,store_1,87.46383508857816,1,small,50000,4,4,16,1,105
2021-04-17,store_1,95.87204630936523,1,small,50000,5,4,17,1,106
2021-04-18,store_1,69.227904066784,0,small,50000,6,4,18,1,107
2021-04-19,store_1,45.28362655234151,0,small,50000,0,4,19,0,108
2021-04-20,store_1,48.282335537036936,0,small,50000,1,4,20,0,109
2021-04-21,store_1,50.35864228039357,0,small,50000,2,4,21,0,110
2021-04-22,store_1,52.185147733897146,0,small,50000,3,4,22,0,111
2021-04-23,store_1,95.82598507306645,1,small,50000,4,4,23,1,112
2021-04-24,store_1,109.18757185108501,1,small,50000,5,4,24,1,113
2021-04-25,store_1,74.8017197934213,0,small,50000,6,4,25,1,114
2021-04-26,store_1,44.35999263737391,0,small,50000,0,4,26,0,115
2021-04-27,store_1,50.05164438474601,0,small,50000,1,4,27,0,116
2021-04-28,store_1,49.10350878355027,0,small,50000,2,4,28,0,117
2021-04-29,store_1,53.206361349959565,0,small,50000,3,4,29,0,118
2021-04-30,store_1,82.64659293073508,1,small,50000,4,4,30,1,119
2021-05-01,store_1,113.89481010354235,1,small,50000,5,5,1,1,120
2021-05-02,store_1,70.08195313409703,0,small,50000,6,5,2,1,121
2021-05-03,store_1,52.14309425213537,0,small,50000,0,5,3,0,122
2021-05-04,store_1,53.82707457489158,0,small,50000,1,5,4,0,123
2021-05-05,store_1,61.333638155235015,0,small,50000,2,5,5,0,124
2021-05-06,store_1,53.4769020618809,0,small,50000,3,5,6,0,125
2021-05-07,store_1,96.46158396097123,1,small,50000,4,5,7,1,126
2021-05-08,store_1,113.39519800045605,1,small,50000,5,5,8,1,127
2021-05-09,store_1,68.0186041382021,0,small,50000,6,5,9,1,128
2021-05-10,store_1,77.98717238038371,1,small,50000,0,5,10,0,129
2021-05-11,store_1,53.12693604712646,0,small,50000,1,5,11,0,130
2021-05-12,store_1,54.37315868305258,0,small,50000,2,5,12,0,131
2021-05-13,store_1,83.0543568459282,1,small,50000,3,5,13,0,132
2021-05-14,store_1,87.48494731820617,1,small,50000,4,5,14,1,133
2021-05-15,store_1,118.23926658102599,1,small,50000,5,5,15,1,134
2021-05-16,store_1,71.50070431003063,0,small,50000,6,5,16,1,135
2021-05-17,store_1,51.434513143507026,0,small,50000,0,5,17,0,136
2021-05-18,store_1,50.18253836167649,0,small,50000,1,5,18,0,137
2021-05-19,store_1,52.85409203000819,0,small,50000,2,5,19,0,138
2021-05-20,store_1,60.87270871349984,0,small,50000,3,5,20,0,139
2021-05-21,store_1,84.62416626757154,1,small,50000,4,5,21,1,140
2021-05-22,store_1,105.02075181294907,1,small,50000,5,5,22,1,141
2021-05-23,store_1,71.61981812658884,0,small,50000,6,5,23,1,142
2021-05-24,store_1,49.77436651122741,0,small,50000,0,5,24,0,143
2021-05-25,store_1,51.780777173229225,0,small,50000,1,5,25,0,144
2021-05-26,store_1,56.087041112851544,0,small,50000,2,5,26,0,145
2021-05-27,store_1,59.74905141879151,0,small,50000,3,5,27,0,146
2021-05-28,store_1,94.08092947779096,1,small,50000,4,5,28,1,147
2021-05-29,store_1,101.96091192432574,1,small,50000,5,5,29,1,148
2021-05-30,store_1,70.48225594694523,0,small,50000,6,5,30,1,149
2021-05-31,store_1,52.45562234761668,0,small,50000,0,5,31,0,150
2021-06-01,store_1,52.10461078667171,0,small,50000,1,6,1,0,151
2021-06-02,store_1,73.34236006441026,1,small,50000,2,6,2,0,152
2021-06-03,store_1,56.092222312353286,0,small,50000,3,6,3,0,153
2021-06-04,store_1,78.05464907731034,1,small,50000,4,6,4,1,154
2021-06-05,store_1,102.6123862864264,1,small,50000,5,6,5,1,155
2021-06-06,store_1,74.72403253048365,0,small,50000,6,6,6,1,156
2021-06-07,store_1,45.00933199869282,0,small,50000,0,6,7,0,157
2021-06-08,store_1,47.79304821251602,0,small,50000,1,6,8,0,158
2021-06-09,store_1,54.504018892774,0,small,50000,2,6,9,0,159
2021-06-10,store_1,50.871188816611976,0,small,50000,3,6,10,0,160
2021-06-11,store_1,83.88194984503178,1,small,50000,4,6,11,1,161
2021-06-12,store_1,105.4249601036676,1,small,50000,5,6,12,1,162
2021-06-13,store_1,66.08356142375415,0,small,50000,6,6,13,1,163
2021-06-14,store_1,46.69114313028781,0,small,50000,0,6,14,0,164
2021-06-15,store_1,51.72927736569236,0,small,50000,1,6,15,0,165
2021-06-16,store_1,53.60495738895558,0,small,50000,2,6,16,0,166
2021-06-17,store_1,55.858739757291836,0,small,50000,3,6,17,0,167
2021-06-18,store_1,85.15360260420296,1,small,50000,4,6,18,1,168
2021-06-19,store_1,104.2660798169547,1,small,50000,5,6,19,1,169
2021-06-20,store_1,67.82568758547954,0,small,50000,6,6,20,1,170
2021-06-21,store_1,48.330078742788764,0,small,50000,0,6,21,0,171
2021-06-22,store_1,48.63427064141027,0,small,50000,1,6,22,0,172
2021-06-23,store_1,52.019137207289035,0,small,50000,2,6,23,0,173
2021-06-24,store_1,78.59218271780497,1,small,50000,3,6,24,0,174
2021-06-25,store_1,86.47065054047795,1,small,50000,4,6,25,1,175
2021-06-26,store_1,98.22057893091902,1,small,50000,5,6,26,1,176
2021-06-27,store_1,64.44626404182534,0,small,50000,6,6,27,1,177
2021-06-28,store_1,47.85955414707279,0,small,50000,0,6,28,0,178
2021-06-29,store_1,50.40389644335427,0,small,50000,1,6,29,0,179
2021-06-30,store_1,54.553276725240394,0,small,50000,2,6,30,0,180
2021-07-01,store_1,51.36662251509201,0,small,50000,3,7,1,0,181
2021-07-02,store_1,84.18046132803808,1,small,50000,4,7,2,1,182
2021-07-03,store_1,100.18183947487796,1,small,50000,5,7,3,1,183
2021-07-04,store_1,66.44331513925695,0,small,50000,6,7,4,1,184
2021-07-05,store_1,64.71126478344013,1,small,50000,0,7,5,0,185
2021-07-06,store_1,47.853136777572075,0,small,50000,1,7,6,0,186
2021-07-07,store_1,50.90863782912006,0,small,50000,2,7,7,0,187
2021-07-08,store_1,52.517066996502166,0,small,50000,3,7,8,0,188
2021-07-09,store_1,73.89076688276609,1,small,50000,4,7,9,1,189
2021-07-10,store_1,98.27902709383616,1,small,50000,5,7,10,1,190
2021-07-11,store_1,72.18824502017736,0,small,50000,6,7,11,1,191
2021-07-12,store_1,66.28257764065009,1,small,50000,0,7,12,0,192
2021-07-13,store_1,45.76922749306638,0,small,50000,1,7,13,0,193
2021-07-14,store_1,50.93159356505987,0,small,50000,2,7,14,0,194
2021-07-15,store_1,53.3181220695045,0,small,50000,3,7,15,0,195
2021-07-16,store_1,87.41694969493372,1,small,50000,4,7,16,1,196
2021-07-17,store_1,91.36465421727203,1,small,50000,5,7,17,1,197
2021-07-18,store_1,67.3745855299851,0,small,50000,6,7,18,1,198
2021-07-19,store_1,46.32679086102453,0,small,50000,0,7,19,0,199
2021-07-20,store_1,47.16070485294266,0,small,50000,1,7,20,0,200
2021-07-21,store_1,50.84487944569946,0,small,50000,2,7,21,0,201
2021-07-22,store_1,55.20031958928868,0,small,50000,3,7,22,0,202
2021-07-23,store_1,86.09515625343973,1,small,50000,4,7,23,1,203
2021-07-24,store_1,91.92440670624192,1,small,50000,5,7,24,1,204
2021-07-25,store_1,67.66301831515337,0,small,50000,6,7,25,1,205
2021-07-26,store_1,67.27918221826313,1,small,50000,0,7,26,0,206
2021-07-27,store_1,47.67130044210705,0,small,50000,1,7,27,0,207
2021-07-28,store_1,50.18111442816698,0,small,50000,2,7,28,0,208
2021-07-29,store_1,52.103652777902,0,small,50000,3,7,29,0,209
2021-07-30,store_1,87.41249051887065,1,small,50000,4,7,30,1,210
2021-07-31,store_1,97.08818897018524,1,small,50000,5,7,31,1,211
2021-08-01,store_1,58.29117780183745,0,small,50000,6,8,1,1,212
2021-08-02,store_1,41.90722383410704,0,small,50000,0,8,2,0,213
2021-08-03,store_1,45.52642695781725,0,small,50000,1,8,3,0,214
2021-08-04,store_1,50.41743471529435,0,small,50000,2,8,4,0,215
2021-08-05,store_1,51.376970608929405,0,small,50000,3,8,5,0,216
2021-08-06,store_1,75.03903498828367,1,small,50000,4,8,6,1,217
2021-08-07,store_1,104.13045130645723,1,small,50000,5,8,7,1,218
2021-08-08,store_1,62.565028414713744,0,small,50000,6,8,8,1,219
2021-08-09,store_1,45.47434761563607,0,small,50000,0,8,9,0,220
2021-08-10,store_1,67.171370420991,1,small,50000,1,8,10,0,221
2021-08-11,store_1,48.76478031943703,0,small,50000,2,8,11,0,222
2021-08-12,store_1,51.966339460898375,0,small,50000,3,8,12,0,223
2021-08-13,store_1,83.14544939793541,1,small,50000,4,8,13,1,224
2021-08-14,store_1,97.51798901155708,1,small,50000,5,8,14,1,225
2021-08-15,store_1,64.44028781910073,0,small,50000,6,8,15,1,226
2021-08-16,store_1,42.074783599977195,0,small,50000,0,8,16,0,227
2021-08-17,store_1,65.74979965850146,1,small,50000,1,8,17,0,228
2021-08-18,store_1,48.28795317513435,0,small,50000,2,8,18,0,229
2021-08-19,store_1,52.19982789048452,0,small,50000,3,8,19,0,230
2021-08-20,store_1,77.4989920871982,1,small,50000,4,8,20,1,231
2021-08-21,store_1,97.55400537970142,1,small,50000,5,8,21,1,232
2021-08-22,store_1,66.23217749332545,0,small,50000,6,8,22,1,233
2021-08-23,store_1,40.789646636533,0,small,50000,0,8,23,0,234
2021-08-24,store_1,43.2348695303355,0,small,50000,1,8,24,0,235
2021-08-25,store_1,47.164606452699914,0,small,50000,2,8,25,0,236
2021-08-26,store_1,50.63994962098693,0,small,50000,3,8,26,0,237
2021-08-27,store_1,76.31608488916169,1,small,50000,4,8,27,1,238
2021-08-28,store_1,98.88313633672522,1,small,50000,5,8,28,1,239
2021-08-29,store_1,63.056583435583306,0,small,50000,6,8,29,1,240
2021-08-30,store_1,42.83246070596378,0,small,50000,0,8,30,0,241
2021-08-31,store_1,41.883405394902994,0,small,50000,1,8,31,0,242
2021-09-01,store_1,70.06262732310076,1,small,50000,2,9,1,0,243
2021-09-02,store_1,53.2353120823852,0,small,50000,3,9,2,0,244
2021-09-03,store_1,73.69979412515576,1,small,50000,4,9,3,1,245
2021-09-04,store_1,102.43207341497738,1,small,50000,5,9,4,1,246
2021-09-05,store_1,64.48313418189689,0,small,50000,6,9,5,1,247
2021-09-06,store_1,52.29462564171955,0,small,50000,0,9,6,0,248
2021-09-07,store_1,52.978927486796145,0,small,50000,1,9,7,0,249
2021-09-08,store_1,49.54414869149799,0,small,50000,2,9,8,0,250
2021-09-09,store_1,52.218507036633,0,small,50000,3,9,9,0,251
2021-09-10,store_1,86.6028469386934,1,small,50000,4,9,10,1,252
2021-09-11,store_1,105.79815026271257,1,small,50000,5,9,11,1,253
2021-09-12,store_1,59.6736783225647,0,small,50000,6,9,12,1,254
2021-09-13,store_1,40.97877499370149,0,small,50000,0,9,13,0,255
2021-09-14,store_1,46.02054751743103,0,small,50000,1,9,14,0,256
2021-09-15,store_1,51.45446458029451,0,small,50000,2,9,15,0,257
2021-09-16,store_1,53.80179557015016,0,small,50000,3,9,16,0,258
2021-09-17,store_1,86.90875710609053,1,small,50000,4,9,17,1,259
2021-09-18,store_1,91.64718709089563,1,small,50000,5,9,18,1,260
2021-09-19,store_1,57.46983353817292,0,small,50000,6,9,19,1,261
2021-09-20,store_1,46.928319640164766,0,small,50000,0,9,20,0,262
2021-09-21,store_1,45.53087923787535,0,small,50000,1,9,21,0,263
2021-09-22,store_1,44.95164504712681,0,small,50000,2,9,22,0,264
2021-09-23,store_1,52.87827099592522,0,small,50000,3,9,23,0,265
2021-09-24,store_1,85.76774471051743,1,small,50000,4,9,24,1,266
2021-09-25,store_1,96.90031621571327,1,small,50000,5,9,25,1,267
2021-09-26,store_1,63.5089302340267,0,small,50000,6,9,26,1,268
2021-09-27,store_1,66.9589115429147,1,small,50000,0,9,27,0,269
2021-09-28,store_1,46.617601180834036,0,small,50000,1,9,28,0,270
2021-09-29,store_1,46.62760858530553,0,small,50000,2,9,29,0,271
2021-09-30,store_1,50.62148573151529,0,small,50000,3,9,30,0,272
2021-10-01,store_1,84.64612166882466,1,small,50000,4,10,1,1,273
2021-10-02,store_1,99.06329893181264,1,small,50000,5,10,2,1,274
2021-10-03,store_1,98.3144268263278,1,small,50000,6,10,3,1,275
2021-10-04,store_1,42.75879246021339,0,small,50000,0,10,4,0,276
2021-10-05,store_1,47.06658413472623,0,small,50000,1,10,5,0,277
2021-10-06,store_1,44.55510868635321,0,small,50000,2,10,6,0,278
2021-10-07,store_1,52.96584229989856,0,small,50000,3,10,7,0,279
2021-10-08,store_1,88.38958488665045,1,small,50000,4,10,8,1,280
2021-10-09,store_1,90.30903974377745,1,small,50000,5,10,9,1,281
2021-10-10,store_1,63.09253368914739,0,small,50000,6,10,10,1,282
2021-10-11,store_1,68.60724183897945,1,small,50000,0,10,11,0,283
2021-10-12,store_1,75.7093830756397,1,small,50000,1,10,12,0,284
2021-10-13,store_1,48.87693201427401,0,small,50000,2,10,13,0,285
2021-10-14,store_1,50.68023484652193,0,small,50000,3,10,14,0,286
2021-10-15,store_1,74.37435130007479,1,small,50000,4,10,15,1,287
2021-10-16,store_1,97.99918250788782,1,small,50000,5,10,16,1,288
2021-10-17,store_1,71.6330221773849,0,small,50000,6,10,17,1,289
2021-10-18,store_1,45.62167598013506,0,small,50000,0,10,18,0,290
2021-10-19,store_1,47.444603206726,0,small,50000,1,10,19,0,291
2021-10-20,store_1,50.8025365950056,0,small,50000,2,10,20,0,292
2021-10-21,store_1,52.46811735634035,0,small,50000,3,10,21,0,293
2021-10-22,store_1,79.14212907903479,1,small,50000,4,10,22,1,294
2021-10-23,store_1,101.50810152326117,1,small,50000,5,10,23,1,295
2021-10-24,store_1,98.59533622806035,1,small,50000,6,10,24,1,296
2021-10-25,store_1,45.037223025907174,0,small,50000,0,10,25,0,297
2021-10-26,store_1,45.18108307638967,0,small,50000,1,10,26,0,298
2021-10-27,store_1,53.2559046662299,0,small,50000,2,10,27,0,299
2021-10-28,store_1,54.24191673508858,0,small,50000,3,10,28,0,300
2021-10-29,store_1,80.21485712452795,1,small,50000,4,10,29,1,301
2021-10-30,store_1,102.3783329485192,1,small,50000,5,10,30,1,302
2021-10-31,store_1,63.379439347586874,0,small,50000,6,10,31,1,303
2021-11-01,store_1,45.40003338358885,0,small,50000,0,11,1,0,304
2021-11-02,store_1,47.97785734611986,0,small,50000,1,11,2,0,305
2021-11-03,store_1,47.84831054298779,0,small,50000,2,11,3,0,306
2021-11-04,store_1,56.42157198851764,0,small,50000,3,11,4,0,307
2021-11-05,store_1,78.68949282050013,1,small,50000,4,11,5,1,308
2021-11-06,store_1,96.08156106614695,1,small,50000,5,11,6,1,309
2021-11-07,store_1,61.163644254033,0,small,50000,6,11,7,1,310
2021-11-08,store_1,47.04402780279668,0,small,50000,0,11,8,0,311
2021-11-09,store_1,49.49735961091127,0,small,50000,1,11,9,0,312
2021-11-10,store_1,77.45927122215916,1,small,50000,2,11,10,0,313
2021-11-11,store_1,52.248443240664116,0,small,50000,3,11,11,0,314
2021-11-12,store_1,81.54314077072881,1,small,50000,4,11,12,1,315
2021-11-13,store_1,104.74603748867665,1,small,50000,5,11,13,1,316
2021-11-14,store_1,66.36745600637046,0,small,50000,6,11,14,1,317
2021-11-15,store_1,71.99197550436037,1,small,50000,0,11,15,0,318
2021-11-16,store_1,71.49701279163321,1,small,50000,1,11,16,0,319
2021-11-17,store_1,52.97223962542696,0,small,50000,2,11,17,0,320
2021-11-18,store_1,58.71376886085049,0,small,50000,3,11,18,0,321
2021-11-19,store_1,89.15866489302361,1,small,50000,4,11,19,1,322
2021-11-20,store_1,100.25812990954591,1,small,50000,5,11,20,1,323
2021-11-21,store_1,69.1236616800437,0,small,50000,6,11,21,1,324
2021-11-22,store_1,46.67869882714697,0,small,50000,0,11,22,0,325
2021-11-23,store_1,49.89172464205374,0,small,50000,1,11,23,0,326
2021-11-24,store_1,51.642232444875766,0,small,50000,2,11,24,0,327
2021-11-25,store_1,82.00323694280404,1,small,50000,3,11,25,0,328
2021-11-26,store_1,87.53844721446731,1,small,50000,4,11,26,1,329
2021-11-27,store_1,97.28446858246984,1,small,50000,5,11,27,1,330
2021-11-28,store_1,97.16918304067752,1,small,50000,6,11,28,1,331
2021-11-29,store_1,43.96694171665629,0,small,50000,0,11,29,0,332
2021-11-30,store_1,45.8815748006089,0,small,50000,1,11,30,0,333
2021-12-01,store_1,61.040162861499965,0,small,50000,2,12,1,0,334
2021-12-02,store_1,68.7900192867768,0,small,50000,3,12,2,0,335
2021-12-03,store_1,102.45623266546603,1,small,50000,4,12,3,1,336
2021-12-04,store_1,129.99714892766437,1,small,50000,5,12,4,1,337
2021-12-05,store_1,126.96227682501612,1,small,50000,6,12,5,1,338
2021-12-06,store_1,52.73890822480902,0,small,50000,0,12,6,0,339
2021-12-07,store_1,95.652503881694,1,small,50000,1,12,7,0,340
2021-12-08,store_1,67.63094592785708,0,small,50000,2,12,8,0,341
2021-12-09,store_1,64.8544526404307,0,small,50000,3,12,9,0,342
2021-12-10,store_1,109.4965193019504,1,small,50000,4,12,10,1,343
2021-12-11,store_1,121.31443337200439,1,small,50000,5,12,11,1,344
2021-12-12,store_1,84.9073865163104,0,small,50000,6,12,12,1,345
2021-12-13,store_1,54.79793058876063,0,small,50000,0,12,13,0,346
2021-12-14,store_1,56.21027421341842,0,small,50000,1,12,14,0,347
2021-12-15,store_1,63.751852172193715,0,small,50000,2,12,15,0,348
2021-12-16,store_1,67.82351584859978,0,small,50000,3,12,16,0,349
2021-12-17,store_1,105.1108230705711,1,small,50000,4,12,17,1,350
2021-12-18,store_1,119.23867557747849,1,small,50000,5,12,18,1,351
2021-12-19,store_1,82.80518183325945,0,small,50000,6,12,19,1,352
2021-12-20,store_1,88.92588242923063,1,small,50000,0,12,20,0,353
2021-12-21,store_1,61.60746856712955,0,small,50000,1,12,21,0,354
2021-12-22,store_1,98.38340810617846,1,small,50000,2,12,22,0,355
2021-12-23,store_1,98.93851013792838,1,small,50000,3,12,23,0,356
2021-12-24,store_1,113.52604477922249,1,small,50000,4,12,24,1,357
2021-12-25,store_1,119.28831732627596,1,small,50000,5,12,25,1,358
2021-12-26,store_1,86.55435113905216,0,small,50000,6,12,26,1,359
2021-12-27,store_1,61.953018344809244,0,small,50000,0,12,27,0,360
2021-12-28,store_1,94.84604473882762,1,small,50000,1,12,28,0,361
2021-12-29,store_1,64.33760553997524,0,small,50000,2,12,29,0,362
2021-12-30,store_1,66.44284652214512,0,small,50000,3,12,30,0,363
2021-12-31,store_1,112.79863213283268,1,small,50000,4,12,31,1,364
2022-01-01,store_1,90.5570497899094,1,small,50000,5,1,1,1,365
2022-01-02,store_1,61.8430234060785,0,small,50000,6,1,2,1,366
2022-01-03,store_1,44.10258266218188,0,small,50000,0,1,3,0,367
2022-01-04,store_1,50.43608799239976,0,small,50000,1,1,4,0,368
2022-01-05,store_1,50.94603647401657,0,small,50000,2,1,5,0,369
2022-01-06,store_1,49.95555404259859,0,small,50000,3,1,6,0,370
2022-01-07,store_1,81.2145591599043,1,small,50000,4,1,7,1,371
2022-01-08,store_1,94.49884930687817,1,small,50000,5,1,8,1,372
2022-01-09,store_1,62.68897835125993,0,small,50000,6,1,9,1,373
2022-01-10,store_1,47.19932519059441,0,small,50000,0,1,10,0,374
2022-01-11,store_1,44.23912500015227,0,small,50000,1,1,11,0,375
2022-01-12,store_1,54.01829749409813,0,small,50000,2,1,12,0,376
2022-01-13,store_1,54.67039433563074,0,small,50000,3,1,13,0,377
2022-01-14,store_1,86.99388745100116,1,small,50000,4,1,14,1,378
2022-01-15,store_1,95.23667516298163,1,small,50000,5,1,15,1,379
2022-01-16,store_1,64.5082818781589,0,small,50000,6,1,16,1,380
2022-01-17,store_1,41.77254468258527,0,small,50000,0,1,17,0,381
2022-01-18,store_1,46.2507477206265,0,small,50000,1,1,18,0,382
2022-01-19,store_1,51.230606545201134,0,small,50000,2,1,19,0,383
2022-01-20,store_1,55.898303228646576,0,small,50000,3,1,20,0,384
2022-01-21,store_1,77.92757968036909,1,small,50000,4,1,21,1,385
